time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.9908,0.804084,0.208119,0.214156,3.00321,0.805272,0.209193,0.215274,3.00319,0.805305,0.208172,0.214119,3.00321,0.805277,0.0044949,0.0124027,0.00118802,0.0043024,0.0123851,0.00122094,0.00443061,0.0124027,0.00119305
0.1,0.419625,0.427528,2.88512,0.78758,0.416059,0.436774,3.00361,0.81799,0.418156,0.439033,3.00359,0.818071,0.416163,0.436719,3.00359,0.817966,0.00990943,0.118486,0.03041,0.0115983,0.118464,0.0304908,0.00982119,0.118471,0.0303856
0.2,0.623189,0.631982,3.10059,0.812999,0.63072,0.640581,2.99805,0.801925,0.633844,0.643894,2.99804,0.802053,0.630689,0.640656,2.99801,0.801877,0.011431,0.102539,0.0110747,0.0159824,0.102552,0.0109468,0.0114669,0.102582,0.0111228
0.3,0.836299,0.857194,3.14076,0.833668,0.893163,0.796404,3.01131,0.731904,0.897576,0.800534,3.01145,0.73202,0.892584,0.796953,3.01131,0.73187,0.0832403,0.129448,0.101764,0.083458,0.129307,0.101648,0.0824439,0.129454,0.101798
0.4,1.04741,1.08974,3.06649,0.798362,1.09282,0.984491,2.98688,0.742038,1.09823,0.989587,2.98708,0.742166,1.09231,0.984954,2.98686,0.741982,0.114624,0.0796043,0.0563234,0.112307,0.07941,0.0561957,0.113999,0.0796271,0.05638
0.5,1.26141,1.30936,3.01733,0.804369,1.28116,1.21673,2.98096,0.775916,1.28761,1.22306,2.98158,0.776058,1.2809,1.21699,2.98093,0.77586,0.0947183,0.0363748,0.0284528,0.0901935,0.0357493,0.0283114,0.0944014,0.036399,0.0285091
0.6,1.47069,1.52673,3.05802,0.837415,1.50199,1.41068,2.9949,0.771448,1.50963,1.41804,2.99597,0.771574,1.50164,1.41103,2.9949,0.771414,0.120193,0.0631271,0.0659671,0.115452,0.0620495,0.0658411,0.119767,0.0631234,0.0660012
0.7,1.67539,1.75391,2.98609,0.858533,1.70801,1.69655,3.06058,0.80846,1.71677,1.70537,3.06241,0.808599,1.70764,1.69659,3.06032,0.808458,0.0659917,0.0744834,0.0500734,0.0637862,0.0763192,0.0499346,0.0657723,0.0742227,0.0500756
0.8,1.87054,1.97993,2.85767,0.854114,1.9993,1.9833,3.19184,0.808066,2.00915,1.99338,3.19414,0.808262,1.99831,1.98302,3.191,0.808073,0.128803,0.334175,0.0460478,0.139264,0.336477,0.0458524,0.127804,0.333329,0.0460408
0.9,2.05826,2.19539,2.84756,0.86056,2.23563,2.13528,3.13154,0.784074,2.24601,2.14553,3.1327,0.784279,2.23487,2.13543,3.13142,0.78405,0.187286,0.283985,0.0764856,0.194256,0.285138,0.0762804,0.186513,0.283863,0.0765098
1,2.24392,2.4113,2.75175,0.887654,2.32126,2.34883,3.00018,0.82572,2.33146,2.3594,2.99981,0.825917,2.32162,2.34908,3.00091,0.82564,0.0994095,0.248437,0.0619338,0.10176,0.248063,0.0617369,0.0995367,0.24916,0.0620137
1.1,2.41762,2.62472,2.83446,0.866142,2.64695,2.5658,3.11619,0.795169,2.65742,2.57626,3.11472,0.795385,2.64652,2.56586,3.11606,0.795084,0.23678,0.281725,0.0709737,0.244647,0.280264,0.0707576,0.236344,0.281598,0.0710579
1.2,2.60123,2.84066,2.89426,0.881454,2.80847,2.86087,3.11918,0.833565,2.81847,2.87147,3.11616,0.833798,2.80827,2.86063,3.11881,0.833467,0.208219,0.22492,0.0478893,0.219418,0.221905,0.0476565,0.207999,0.224551,0.0479876
