time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.9908,0.779157,0.215306,0.209499,3.01518,0.776458,0.216402,0.210554,3.01521,0.77643,0.215303,0.209528,3.01524,0.776631,0.00412423,0.0243793,0.00269848,0.00455249,0.0244058,0.00272634,0.00410288,0.0244408,0.00252562
0.1,0.42493,0.42229,2.88512,0.765539,0.448872,0.399434,3.00666,0.733278,0.450877,0.401242,3.0066,0.733316,0.448601,0.399752,3.00669,0.733363,0.0331002,0.121537,0.0322611,0.0334113,0.121479,0.0322235,0.0326845,0.121566,0.0321761
0.2,0.632949,0.622207,2.93437,0.771617,0.655901,0.622373,3.01477,0.769538,0.658568,0.624928,3.01471,0.769581,0.655819,0.62252,3.01481,0.76962,0.0229522,0.0803924,0.00207857,0.025763,0.0803374,0.00203571,0.0228715,0.0804311,0.00199612
0.3,0.843281,0.82682,2.95744,0.758515,0.880731,0.814498,3.0191,0.758277,0.884044,0.817586,3.01902,0.758325,0.880524,0.814747,3.01913,0.758348,0.0394248,0.0616513,0.000238007,0.0417959,0.0615782,0.000190199,0.0391512,0.0616895,0.000167256
0.4,1.05795,1.03025,2.86686,0.754511,1.12984,0.971011,3.02758,0.721953,1.13382,0.974447,3.02748,0.721999,1.12932,0.971508,3.02761,0.722012,0.0931541,0.160721,0.0325584,0.0941837,0.160623,0.0325125,0.0924331,0.160747,0.0324992
0.5,1.26683,1.22661,2.60262,0.759692,1.36917,1.12906,2.99943,0.703074,1.37373,1.13284,2.99931,0.703129,1.36848,1.12972,2.99944,0.703116,0.141377,0.396802,0.0566183,0.142191,0.396683,0.0565631,0.140427,0.396816,0.0565759
0.6,1.45553,1.40585,2.58716,0.781245,1.54789,1.35306,2.96526,0.737725,1.55288,1.35739,2.96527,0.737783,1.54741,1.35352,2.96529,0.737764,0.106378,0.378105,0.0435199,0.108737,0.37811,0.0434625,0.105737,0.378133,0.0434807
0.7,1.63923,1.58803,2.52221,0.77126,1.75716,1.59281,2.99021,0.760232,1.76276,1.59782,2.99063,0.760291,1.75679,1.59317,2.99023,0.760271,0.118023,0.467998,0.0110277,0.123918,0.468415,0.0109687,0.117673,0.468024,0.0109885
0.8,1.82008,1.76383,2.49169,0.776791,2.02356,1.82771,3.07081,0.75977,2.02999,1.83341,3.0718,0.759834,2.0231,1.82805,3.07077,0.759804,0.213266,0.579122,0.0170207,0.221135,0.580114,0.016957,0.212933,0.579084,0.0169867
0.9,1.99778,1.9385,2.56194,0.780507,2.20365,1.91717,2.93387,0.740505,2.21054,1.92306,2.93481,0.740569,2.20322,1.91786,2.93404,0.740536,0.206967,0.371922,0.0400024,0.213321,0.372867,0.039938,0.206476,0.372094,0.0399709
1,2.17982,2.11877,2.73227,0.801137,2.4742,2.11942,2.97027,0.733094,2.48188,2.12591,2.97167,0.733166,2.47361,2.12012,2.97034,0.733123,0.294378,0.237999,0.0680431,0.302145,0.239399,0.0679704,0.293793,0.23807,0.0680138
1.1,2.36996,2.31499,2.73425,0.79712,2.65848,2.25096,2.89375,0.729167,2.66662,2.25772,2.89513,0.729238,2.65799,2.25186,2.89395,0.729193,0.295543,0.159505,0.0679537,0.302139,0.160887,0.0678826,0.294869,0.159703,0.0679271
1.2,2.56102,2.51058,2.84772,0.809374,2.76346,2.44247,2.79105,0.758948,2.77183,2.44961,2.79233,0.759018,2.7632,2.44332,2.79131,0.758975,0.213588,0.0566695,0.0504266,0.219454,0.0553875,0.0503565,0.213077,0.0564113,0.050399
1.3,2.7575,2.71671,2.71816,0.832591,2.85195,2.56433,2.64125,0.772527,2.86052,2.57164,2.64227,0.772591,2.85188,2.5653,2.64157,0.772558,0.17928,0.0769098,0.0600639,0.177929,0.0758864,0.0599999,0.178421,0.0765851,0.0600329
1.4,2.94042,2.91777,2.77796,0.825581,3.03666,2.8231,2.69776,0.795429,3.04522,2.83053,2.69835,0.795489,3.03654,2.82381,2.69787,0.795456,0.135001,0.080198,0.0301516,0.136364,0.0796052,0.030092,0.134416,0.0800875,0.030125
1.5,3.1288,3.12193,2.77954,0.829638,3.21224,2.92065,2.64083,0.782491,3.22084,2.92783,2.64081,0.782537,3.21207,2.92153,2.64092,0.78252,0.217896,0.138713,0.0471473,0.214821,0.138735,0.0471006,0.217015,0.138622,0.0471179
1.6,3.31646,3.32698,2.87664,0.821126,3.37816,3.09509,2.60429,0.789426,3.3866,3.10208,2.6036,0.789469,3.37795,3.0959,2.60426,0.789451,0.239953,0.272356,0.0317001,0.235577,0.273046,0.0316567,0.239117,0.272378,0.0316752
1.7,3.51247,3.53752,2.85776,0.824218,3.6138,3.43837,2.76223,0.816806,3.62173,3.44506,2.76074,0.816845,3.61345,3.43884,2.76194,0.816828,0.141764,0.0955246,0.00741163,0.143132,0.0970134,0.00737312,0.141188,0.0958211,0.00738963
1.8,3.70655,3.74729,2.86264,0.84192,3.76025,3.67145,2.75552,0.836954,3.7678,3.6778,2.75321,0.836983,3.75995,3.67182,2.75523,0.836975,0.0929243,0.107117,0.00496602,0.092627,0.109427,0.00493748,0.0924469,0.107413,0.00494504
1.9,3.89721,3.96082,2.97982,0.855009,4.01299,3.97147,2.88719,0.846218,4.02005,3.97733,2.88411,0.846241,4.01259,3.97169,2.88674,0.846235,0.116267,0.092621,0.00879025,0.123945,0.0957034,0.00876741,0.115893,0.0930799,0.0087742
2,4.09275,4.18567,3.08188,0.869199,4.27182,4.15901,2.92955,0.832044,4.27857,4.16432,2.92575,0.832061,4.27131,4.15931,2.92912,0.83206,0.181042,0.152324,0.0371548,0.187038,0.156126,0.0371381,0.180495,0.152754,0.0371392
2.1,4.29167,4.42106,3.06226,0.875198,4.35239,4.30512,2.75804,0.847117,4.35883,4.31013,2.75358,0.84713,4.35209,4.30543,2.75794,0.847123,0.130879,0.304215,0.0280813,0.129686,0.308682,0.0280679,0.130465,0.304325,0.0280751
2.2,4.48791,4.65615,3.14284,0.877787,4.61697,4.5446,2.85949,0.84166,4.62309,4.54914,2.85462,0.841669,4.61654,4.5449,2.85921,0.841667,0.170585,0.283352,0.0361272,0.172406,0.288226,0.0361185,0.170056,0.283633,0.0361205
2.3,4.68869,4.89793,2.86018,0.887441,4.74158,4.67652,2.72318,0.845008,4.74745,4.68074,2.71787,0.845016,4.74128,4.67687,2.72322,0.845008,0.22764,0.137007,0.042433,0.225002,0.142314,0.0424251,0.227228,0.136961,0.0424337
2.4,4.86929,5.11973,2.9547,0.90559,4.9102,4.82097,2.65448,0.841893,4.91585,4.82486,2.64893,0.841899,4.90993,4.82136,2.65467,0.841888,0.301548,0.300217,0.0636967,0.298523,0.305763,0.0636902,0.301121,0.300027,0.0637013
2.5,5.05166,5.3522,3.00681,0.906142,5.19658,5.11915,2.86588,0.843477,5.20204,5.12274,2.86037,0.843478,5.19608,5.1195,2.86555,0.843483,0.274438,0.14093,0.062665,0.274347,0.146442,0.0626647,0.273876,0.141267,0.0626592
2.6,5.23711,5.58888,2.93938,0.891595,5.47685,5.41766,3.06304,0.845887,5.48214,5.421,3.05755,0.845885,5.47616,5.41799,3.06236,0.845904,0.294601,0.123652,0.0457085,0.297019,0.118167,0.04571,0.29385,0.122972,0.0456913
2.7,5.42176,5.81758,3.03416,0.88367,5.65274,5.54457,2.91495,0.838715,5.65791,5.54768,2.90939,0.838712,5.65217,5.54501,2.91478,0.838721,0.357613,0.119213,0.0449552,0.358628,0.124766,0.0449587,0.356909,0.119375,0.0449493
2.8,5.61422,6.05214,3.15693,0.898788,5.88261,5.77899,2.9755,0.840189,5.88769,5.78192,2.97008,0.840183,5.88198,5.77944,2.97525,0.840197,0.382948,0.181431,0.0585992,0.384454,0.186857,0.0586046,0.382188,0.181682,0.0585913
2.9,5.81076,6.2992,3.21468,0.888485,6.05802,6.03961,2.99714,0.856033,6.06301,6.04242,2.99186,0.856027,6.05744,6.04002,2.99689,0.856041,0.35851,0.217535,0.0324524,0.359958,0.222817,0.0324588,0.357802,0.217782,0.0324441
3,6.01347,6.54869,3.23344,0.895759,6.22201,6.26444,2.95943,0.866965,6.22694,6.26713,2.9543,0.866958,6.22148,6.26487,2.95937,0.866972,0.352549,0.27401,0.0287936,0.353333,0.279143,0.0288008,0.351884,0.274079,0.0287864
3.1,6.21554,6.80112,3.22163,0.897993,6.42051,6.48643,2.96245,0.870031,6.42541,6.48904,2.95753,0.870023,6.41999,6.48688,2.9624,0.870036,0.375563,0.259182,0.0279619,0.376092,0.264101,0.0279693,0.374899,0.259238,0.0279562
3.2,6.4163,7.05308,3.20911,0.910042,6.6188,6.82156,3.13038,0.890432,6.62368,6.82415,3.12575,0.890429,6.61827,6.82187,3.12992,0.890444,0.307584,0.0787275,0.01961,0.308892,0.083363,0.0196135,0.306998,0.0791869,0.0195979
3.3,6.61325,7.30645,3.1855,0.91346,6.87286,7.06157,3.19681,0.883613,6.87773,7.06412,3.19239,0.88361,6.87228,7.06186,3.19623,0.883621,0.356882,0.0113026,0.029847,0.358715,0.00688756,0.0298493,0.356256,0.0107255,0.0298382
3.4,6.80789,7.55862,3.21954,0.899058,7.04718,7.37442,3.26673,0.903863,7.05204,7.37694,3.26247,0.903862,7.04665,7.37467,3.26616,0.903878,0.301981,0.0471906,0.00480538,0.304335,0.0429295,0.00480463,0.30141,0.0466211,0.00482029
3.5,7.00825,7.81063,3.01003,0.917817,7.20154,7.64426,3.21814,0.919878,7.2064,7.64675,3.21398,0.919877,7.20108,7.64453,3.21783,0.91989,0.255025,0.20811,0.00206158,0.257139,0.203945,0.00206034,0.254499,0.207798,0.00207313
3.6,7.19113,8.04971,3.17007,0.930644,7.44995,7.8839,3.25542,0.911936,7.45482,7.88637,3.25145,0.911935,7.44943,7.88414,3.25496,0.911941,0.307375,0.0853476,0.0187075,0.310182,0.0813737,0.0187089,0.306808,0.0848847,0.0187024
3.7,7.38048,8.30395,3.13354,0.951776,7.63832,8.16735,3.2703,0.922489,7.64321,8.1698,3.26645,0.922487,7.63782,8.16755,3.2698,0.92249,0.291784,0.136755,0.0292866,0.294989,0.132912,0.0292885,0.29125,0.136256,0.0292854
3.8,7.5623,8.55916,2.98955,0.96185,7.83621,8.42375,3.26065,0.926704,7.84111,8.42618,3.25689,0.926702,7.83573,8.42397,3.2603,0.926702,0.305551,0.271109,0.035146,0.308897,0.267344,0.0351481,0.305022,0.270751,0.0351482
