time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.9969,0.800663,0.209619,0.212299,3.00039,0.796889,0.210478,0.213516,3.00005,0.797721,0.209548,0.212366,3.0002,0.797215,0.00251857,-0.00348674,0.00377359,0.00215689,-0.00315153,0.00294187,0.00259455,-0.0033029,0.00344785
0.1,0.420786,0.427255,2.94556,0.789535,0.419591,0.424779,3.00384,0.800478,0.421109,0.427386,3.0033,0.801756,0.41945,0.424909,3.00367,0.800791,0.00274873,-0.0582777,0.0109438,0.000349124,-0.0577344,0.0122209,0.00269924,-0.0581084,0.0112567
0.2,0.628205,0.636397,2.99961,0.792617,0.623076,0.641212,3.0034,0.811099,0.624753,0.645597,3.00242,0.813219,0.622626,0.641566,3.003,0.811796,0.00703456,-0.00379479,0.0184819,0.00982578,-0.0028123,0.0206015,0.00760539,-0.00339552,0.019179
0.3,0.838773,0.850027,3.04178,0.792565,0.828736,0.85539,3.00336,0.817159,0.830248,0.861774,3.00192,0.820048,0.827819,0.856078,3.00275,0.818209,0.0113799,0.0384225,0.0245941,0.0145142,0.0398589,0.027483,0.0125138,0.0390268,0.0256437
0.4,1.05231,1.06665,3.00005,0.794795,1.05226,1.0601,3.01726,0.805577,1.05495,1.06755,3.01617,0.807844,1.05218,1.06015,3.01742,0.805467,0.00654989,-0.0172073,0.0107823,0.0027885,-0.016117,0.0130489,0.00649813,-0.017367,0.0106724
0.5,1.26244,1.28077,3.00239,0.789603,1.26948,1.26929,3.02335,0.804245,1.27242,1.27848,3.02206,0.806764,1.26962,1.26921,3.02367,0.803942,0.0134641,-0.0209611,0.0146424,0.0102355,-0.0196736,0.017161,0.0136044,-0.02128,0.0143395
0.6,1.47385,1.49396,3.06597,0.790326,1.50758,1.46412,3.04057,0.789947,1.51227,1.47409,3.03974,0.791798,1.50915,1.46302,3.04177,0.788571,0.0450357,0.0253963,0.000378745,0.043249,0.0262227,0.00147216,0.0469408,0.024192,0.00175537
0.7,1.68958,1.71182,3.07129,0.812589,1.72208,1.67797,3.04461,0.793997,1.72666,1.68999,3.0434,0.796308,1.72402,1.67669,3.04582,0.792617,0.0469307,0.0266814,0.0185926,0.0430271,0.0278945,0.0162811,0.0492019,0.0254683,0.019972
0.8,1.90077,1.93482,3.04394,0.802767,1.93357,1.8919,3.04383,0.799473,1.9372,1.90646,3.04194,0.802527,1.93538,1.89078,3.04479,0.798366,0.0540191,0.000108445,0.00329461,0.0461681,0.00200349,0.000240351,0.0560121,-0.00085233,0.00440173
0.9,2.11223,2.15377,2.96713,0.819724,2.13679,2.11914,3.0495,0.808024,2.13985,2.13604,3.04727,0.811488,2.1392,2.1177,3.05055,0.806815,0.0424502,-0.082376,0.0117001,0.0328185,-0.0801433,0.00823661,0.045029,-0.0834266,0.0129095
1,2.31472,2.37065,2.99852,0.832458,2.38957,2.30528,3.06308,0.795549,2.39349,2.32358,3.06089,0.798869,2.39288,2.3032,3.06463,0.793917,0.099382,-0.0645527,0.0369093,0.0917677,-0.0623639,0.0335897,0.103239,-0.0661037,0.0385413
1.1,2.51654,2.59242,3.00082,0.819495,2.60803,2.51916,3.06695,0.7988,2.61091,2.54006,3.06421,0.802642,2.61154,2.51703,3.06844,0.797246,0.117208,-0.0661354,0.0206948,0.107924,-0.0633911,0.0168529,0.121282,-0.0676209,0.022249
1.2,2.72137,2.81172,2.99707,0.835687,2.80596,2.74673,3.06464,0.808784,2.80663,2.77087,3.06105,0.813421,2.80935,2.74479,3.06581,0.807485,0.10667,-0.0675673,0.0269024,0.0945401,-0.0639733,0.0222656,0.110544,-0.0687395,0.0282014
1.3,2.92237,3.03403,2.94503,0.83945,3.0385,2.962,3.08063,0.807803,3.03927,2.98811,3.07705,0.812437,3.04308,2.95933,3.08227,0.806149,0.136648,-0.135599,0.0316467,0.125595,-0.132021,0.0270131,0.141955,-0.137241,0.0333015
1.4,3.11906,3.25322,2.95466,0.846354,3.22154,3.20747,3.07725,0.822471,3.2186,3.23771,3.07253,0.828171,3.22539,3.20547,3.0783,0.8213,0.112226,-0.122597,0.0238826,0.100736,-0.117871,0.0181825,0.116557,-0.123645,0.0250538
1.5,3.31487,3.47448,2.96061,0.823567,3.42324,3.44462,3.08418,0.830128,3.41836,3.47795,3.07899,0.836273,3.42762,3.44242,3.08528,0.828927,0.112403,-0.123572,0.00656104,0.103541,-0.118386,0.0127052,0.117217,-0.124671,0.00535937
1.6,3.51608,3.69167,3.0024,0.848747,3.69295,3.62905,3.1037,0.817857,3.68997,3.66315,3.09899,0.82343,3.69984,3.62508,3.10585,0.815834,0.187633,-0.101302,0.0308903,0.176212,-0.0965936,0.0253167,0.195452,-0.103447,0.0329129
1.7,3.71451,3.91698,2.86257,0.849781,3.88869,3.88126,3.11326,0.828216,3.8837,3.91858,3.10813,0.834214,3.89661,3.87692,3.11549,0.826141,0.177804,-0.250689,0.021565,0.169198,-0.245563,0.0155663,0.186449,-0.252918,0.0236396
