time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.78192,0.785023,0.213495,0.208116,3.03071,0.758025,0.214496,0.209218,3.03053,0.758378,0.213557,0.208084,3.0313,0.757855,0.00424117,0.248789,0.0269973,0.00375272,0.248603,0.0266447,0.00429186,0.249379,0.0271672
0.1,0.408918,0.40877,2.50567,0.793884,0.419849,0.413684,3.01425,0.777969,0.421387,0.416325,3.01267,0.779595,0.419888,0.413597,3.01443,0.77789,0.0119854,0.508584,0.0159145,0.0145794,0.507002,0.014289,0.0119858,0.508764,0.0159936
0.2,0.584585,0.587444,2.52482,0.818893,0.622526,0.637457,2.99215,0.80657,0.623966,0.642216,2.98868,0.809727,0.622572,0.637479,2.99169,0.806781,0.0627759,0.467325,0.0123231,0.06746,0.463853,0.00916605,0.0628207,0.466862,0.012112
0.3,0.757038,0.771855,2.68167,0.806387,0.812801,0.869576,2.95018,0.840715,0.813292,0.876928,2.94415,0.845695,0.812672,0.869897,2.94865,0.841528,0.112512,0.268514,0.0343282,0.119184,0.262483,0.0393077,0.112727,0.266981,0.0351411
0.4,0.942639,0.965415,2.64652,0.808492,1.05854,1.04514,3.0173,0.785907,1.05978,1.05337,3.0111,0.789996,1.05882,1.04463,3.01769,0.785131,0.140673,0.370782,0.0225855,0.146489,0.364584,0.0184959,0.140613,0.37117,0.0233613
0.5,1.1254,1.15682,2.65223,0.789967,1.24014,1.2425,2.9245,0.805469,1.2398,1.25221,2.9139,0.810842,1.24044,1.24156,2.9233,0.804875,0.143193,0.272272,0.0155022,0.148946,0.261668,0.0208756,0.142877,0.271067,0.0149082
0.6,1.31209,1.34522,2.90352,0.790345,1.3857,1.50247,2.92651,0.852814,1.38266,1.51552,2.91466,0.860104,1.38598,1.50219,2.92606,0.852798,0.173623,0.0229933,0.0624691,0.184341,0.01114,0.0697593,0.173488,0.0225423,0.0624533
0.7,1.51638,1.55154,2.98425,0.824648,1.56945,1.69218,2.84417,0.858494,1.56407,1.70612,2.82714,0.866818,1.56942,1.69158,2.84161,0.858733,0.150316,0.140072,0.0338462,0.161765,0.157103,0.0421696,0.149741,0.142634,0.0340846
0.8,1.71895,1.77068,3.19215,0.818649,1.77673,1.83869,2.80592,0.831002,1.76938,1.85101,2.78382,0.838923,1.77654,1.83632,2.80163,0.830426,0.0892391,0.386235,0.0123522,0.0948453,0.408331,0.0202739,0.0873168,0.390519,0.0117767
0.9,1.93704,2.00378,3.19424,0.855927,2.00131,2.11055,2.89921,0.845981,1.99335,2.12765,2.87967,0.855111,2.00176,2.10937,2.89798,0.845768,0.124622,0.295033,0.00994685,0.136068,0.314576,0.000816331,0.123844,0.296264,0.0101591
1,2.14643,2.245,3.06199,0.849786,2.16403,2.26324,2.77566,0.85045,2.15259,2.27816,2.74849,0.860186,2.16419,2.26108,2.7712,0.850304,0.0253421,0.286337,0.000664425,0.0337302,0.313501,0.0104002,0.0239551,0.29079,0.000518599
1.1,2.34857,2.475,3.1738,0.84019,2.5125,2.56353,3.14512,0.799185,2.50142,2.58591,3.12909,0.808189,2.51309,2.56223,3.14931,0.798061,0.186306,0.0286829,0.0410046,0.188857,0.044709,0.0320007,0.186212,0.0244923,0.0421294
1.2,2.56036,2.71137,3.12206,0.853627,2.69384,2.92802,3.22494,0.851382,2.68138,2.95682,3.2109,0.862087,2.69532,2.92824,3.23182,0.850819,0.254469,0.10288,0.00224453,0.273655,0.0888433,0.00846016,0.255435,0.109756,0.0028074
